candidate_type,ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes,rank_score
anticipative,AGNC,AGNC,9.845000267028809,10287335971.506409,Financials,REIT - Mortgage,Strong Buy,6,STRONG_BUY,Buy,2.06667,12.0,6.6
confirmed,AGNC,AGNC,9.845000267028809,10287335971.506409,Financials,REIT - Mortgage,Strong Buy,6,STRONG_BUY,Buy,2.06667,12.0,6.6
event,AGNC,AGNC,9.845000267028809,10287335971.506409,Financials,REIT - Mortgage,Strong Buy,6,STRONG_BUY,Buy,2.06667,12.0,6.6
anticipative,FSLR,FSLR,201.8000030517578,21642646727.29492,Information Technology,Semiconductors,Strong Buy,4,,Strong Buy,1.58824,30.0,5.0
anticipative,DKNG,DKNG,48.02000045776367,23840490395.585938,Consumer Discretionary,Gambling,Strong Buy,4,,Strong Buy,1.47059,33.0,5.0
anticipative,PODD,PODD,339.8699951171875,23924297271.80664,Health Care,Medical Devices,Strong Buy,4,,Strong Buy,1.45833,23.0,5.0
anticipative,UAL,UAL,105.8499984741211,34267031706.02417,Industrials,Passenger Airlines,Strong Buy,4,,Strong Buy,1.45455,20.0,5.0
anticipative,DAL,DAL,61.834999084472656,40375037003.48828,Industrials,Passenger Airlines,Strong Buy,4,,Strong Buy,1.45455,20.0,5.0
anticipative,TTWO,TTWO,237.5800018310547,43826382937.77466,Communication Services,Interactive Home Entertainment,Strong Buy,4,,Strong Buy,1.37037,27.0,5.0
anticipative,ANET,ANET,137.38499450683594,172675080243.9668,Information Technology,Communications Equipment,Strong Buy,4,,Strong Buy,1.57143,24.0,5.0
event,FSLR,FSLR,201.8000030517578,21642646727.29492,Information Technology,Semiconductors,Strong Buy,4,,Strong Buy,1.58824,30.0,5.0
event,DKNG,DKNG,48.02000045776367,23840490395.585938,Consumer Discretionary,Gambling,Strong Buy,4,,Strong Buy,1.47059,33.0,5.0
event,PODD,PODD,339.8699951171875,23924297271.80664,Health Care,Medical Devices,Strong Buy,4,,Strong Buy,1.45833,23.0,5.0
