candidate_type,ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol,rank_score
anticipative,THC,THC,192.52000427246094,17009334897.476196,Health Care,Health Care Facilities,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.59091,21.0,934117.0,5.8
anticipative,AXSM,AXSM,124.41000366210938,6208245797.744751,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.26316,19.0,576375.8,5.76
anticipative,BRX,BRX,28.139999389648438,8613653813.171387,Real Estate,Retail REITs,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.52941,17.0,1994921.3,5.68
anticipative,BURL,BURL,301.3500061035156,18995597634.735107,Consumer Discretionary,Apparel Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.27778,16.0,1272690.3,5.64
anticipative,IDYA,IDYA,25.829999923706055,2263836660.9933167,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.4,15.0,991351.7,5.6
anticipative,WAL,WAL,91.33999633789062,10081104055.81665,Financials,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.46667,15.0,949037.0,5.6
anticipative,ELF,ELF,133.72000122070312,7586590897.25647,Consumer Staples,Personal Care Products,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.5625,14.0,1817541.4,5.5600000000000005
anticipative,IRTC,IRTC,182.1699981689453,5852721267.172241,Healthcare,Medical Devices,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.35714,13.0,396378.7,5.52
anticipative,WTFC,WTFC,139.80999755859375,9360600899.542236,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.53846,13.0,412295.6,5.52
anticipative,EYPT,EYPT,11.880000114440918,820980428.3885651,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.30769,12.0,540154.8,5.48
anticipative,SMTC,SMTC,59.900001525878906,5197762732.406616,Technology,Semiconductors,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.57143,12.0,2680632.9,5.48
anticipative,PFGC,PFGC,105.25,16473625592.0,Consumer Staples,Food Distributors,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.57143,12.0,1426456.4,5.48
anticipative,ACM,ACM,125.94000244140625,16680249563.354492,Industrials,Construction & Engineering,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.53846,11.0,986479.6,5.44
anticipative,AQST,AQST,5.059999942779541,612128433.0778122,Healthcare,Drug Manufacturers - Specialty & Generic,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.4,10.0,2572040.4,5.4
anticipative,TRML,TRML,25.100000381469727,644876739.8008347,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.18182,10.0,161784.5,5.4
