ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes,rank_score
AGNC,AGNC,NMS,10287335971.506409,9.845000267028809,Financials,REIT - Mortgage,Strong Buy,6,STRONG_BUY,Buy,2.06667,12.0,6.6
FSLR,FSLR,NMS,21642646727.29492,201.8000030517578,Information Technology,Semiconductors,Strong Buy,4,,Strong Buy,1.58824,30.0,5.0
DKNG,DKNG,NMS,23840490395.585938,48.02000045776367,Consumer Discretionary,Gambling,Strong Buy,4,,Strong Buy,1.47059,33.0,5.0
PODD,PODD,NMS,23924297271.80664,339.8699951171875,Health Care,Medical Devices,Strong Buy,4,,Strong Buy,1.45833,23.0,5.0
UAL,UAL,NMS,34267031706.02417,105.8499984741211,Industrials,Passenger Airlines,Strong Buy,4,,Strong Buy,1.45455,20.0,5.0
DAL,DAL,NYQ,40375037003.48828,61.834999084472656,Industrials,Passenger Airlines,Strong Buy,4,,Strong Buy,1.45455,20.0,5.0
TTWO,TTWO,NMS,43826382937.77466,237.5800018310547,Communication Services,Interactive Home Entertainment,Strong Buy,4,,Strong Buy,1.37037,27.0,5.0
ANET,ANET,NYQ,172675080243.9668,137.38499450683594,Information Technology,Communications Equipment,Strong Buy,4,,Strong Buy,1.57143,24.0,5.0
TJX,TJX,NYQ,155049243275.21875,139.31619262695312,Consumer Discretionary,Apparel Retail,Strong Buy,6,,Strong Buy,1.47619,18.0,4.9
BRX,BRX,NYQ,8553964406.585693,27.94499969482422,Real Estate,Retail REITs,Strong Buy,4,,Strong Buy,1.52941,17.0,4.85
WYNN,WYNN,NMS,13061070632.881165,125.61499786376953,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,,Strong Buy,1.5,17.0,4.85
INSM,INSM,NMS,30203374764.106934,142.88999938964844,Health Care,Biotechnology,Strong Buy,4,,Strong Buy,1.26316,17.0,4.85
BROS,BROS,NYQ,11772979810.822266,71.55999755859375,Consumer Discretionary,Restaurants,Strong Buy,4,,Strong Buy,1.47059,16.0,4.8
BURL,BURL,NYQ,18451289794.158936,292.7149963378906,Consumer Discretionary,Apparel Retail,Strong Buy,4,,Strong Buy,1.27778,16.0,4.8
DD,DD,NYQ,31667357308.706055,75.62950134277344,Materials,Specialty Chemicals,Strong Buy,4,,Strong Buy,1.41176,16.0,4.8
WAL,WAL,NYQ,9833877731.590271,89.0999984741211,Financials,Banks - Regional,Strong Buy,4,,Strong Buy,1.46667,15.0,4.75
SSB,SSB,NYQ,10181625245.567322,100.5999984741211,Financials,Regional Banks,Strong Buy,4,,Strong Buy,1.58333,12.0,4.6
PFGC,PFGC,NYQ,16252933217.530273,103.83999633789062,Consumer Staples,Food Distributors,Strong Buy,6,,Strong Buy,1.57143,12.0,4.6
ACM,ACM,NYQ,16468335154.968262,124.33999633789062,Industrials,Construction & Engineering,Strong Buy,4,BUY,Strong Buy,1.53846,11.0,4.55
AMG,AMG,NYQ,6482504840.048218,228.16000366210938,Financials,Asset Management & Custody Banks,Strong Buy,4,BUY,Strong Buy,1.42857,7.0,4.35
LOPE,LOPE,NMS,5741304654.858398,204.41000366210938,Consumer Discretionary,Education Services,Strong Buy,4,,Strong Buy,1.33333,3.0,4.15
LYFT,LYFT,NMS,6948125437.3984375,17.094999313354492,Industrials,Passenger Ground Transportation,Strong Buy,6,,Buy,2.47619,35.0,4.0
IONS,IONS,NMS,9679815842.876587,60.72999954223633,Health Care,Biotechnology,Strong Buy,6,,Buy,1.96296,26.0,4.0
W,W,NYQ,10122634230.430603,78.06999969482422,Consumer Discretionary,Internet Retail,Strong Buy,4,,Buy,2.09375,29.0,4.0
OVV,OVV,NYQ,10692738474.992676,41.599998474121094,Energy,Oil & Gas E&P,Strong Buy,4,,Buy,1.65217,21.0,4.0
BMRN,BMRN,NMS,11308723984.057495,58.89500045776367,Health Care,Biotechnology,Buy,3,,Strong Buy,1.59259,26.0,4.0
ROKU,ROKU,NMS,14329634465.904785,97.2614974975586,Communication Services,Entertainment,Strong Buy,4,,Buy,2.03333,26.0,4.0
CELH,CELH,NCM,15804676574.491089,61.310001373291016,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Strong Buy,4,,Buy,1.85714,20.0,4.0
FTI,FTI,NYQ,15832336508.148193,38.52000045776367,Energy,Oil & Gas Equipment & Services,Strong Buy,4,,Buy,1.78261,22.0,4.0
DPZ,DPZ,NMS,15898100581.356812,468.2950134277344,Consumer Discretionary,Restaurants,Strong Buy,4,,Buy,1.9375,29.0,4.0
INCY,INCY,NMS,16949957395.935059,86.80000305175781,Health Care,Biotechnology,Strong Buy,4,,Buy,2.34615,23.0,4.0
BIIB,BIIB,NMS,20804668740.333008,141.89999389648438,Health Care,Biotechnology,Strong Buy,4,,Buy,2.26471,28.0,4.0
NTRA,NTRA,NMS,22812675817.382812,166.21499633789062,Health Care,Diagnostics & Research,Buy,2,,Strong Buy,1.45,20.0,4.0
RF,RF,NYQ,23829084217.362305,26.704999923706055,Financials,Regional Banks,Strong Buy,4,,Buy,2.29167,22.0,4.0
ULTA,ULTA,NMS,23892140345.3125,532.8499755859375,Consumer Discretionary,Other Specialty Retail,Strong Buy,4,,Buy,2.22222,22.0,4.0
ZM,ZM,NMS,25002602665.687256,83.54000091552734,Information Technology,Application Software,Strong Buy,4,,Buy,2.25,27.0,4.0
HBAN,HBAN,NMS,25574692460.313965,17.530000686645508,Financials,Regional Banks,Strong Buy,4,,Buy,1.71429,20.0,4.0
