ticker,themes,score,setup,price,mcap_usd,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,sector,first_scan_date,first_scan_price,pct_since_first,days_tracked
INFU,,94.1,Squeeze / VCP prêt à casser,12.48,245778014.0,64.5,-0.041,0.24,2.97,2.04,1329192.0,3.8,33.0,6.0,1.0,0.0,0.898,0.944,0.962,1.0,1.0,0.856,0.992,0.874,Health Care,2026-07-03,10.16,22.83,77
BLFS,,93.1,Squeeze / VCP prêt à casser,36.85,1807102713.0,63.2,-0.139,2.05,5.53,5.47,33514166.0,3.3,28.5,4.0,0.86,0.0,0.865,1.0,0.838,0.932,1.0,0.926,0.96,0.891,Health Care,2026-07-03,28.11,31.09,77
WTBA,,91.8,Squeeze / VCP prêt à casser,29.57,498870358.0,61.7,0.036,0.37,1.27,1.48,1442542.0,2.5,15.5,18.0,1.0,0.0,0.815,1.0,0.866,0.947,1.0,0.809,0.976,0.916,Financials,2026-07-03,27.09,9.15,77
FIVN,,91.7,Squeeze / VCP prêt à casser,34.5,2434492640.0,61.4,-0.095,1.23,14.05,6.32,55943417.0,1.9,41.0,12.0,1.0,0.0,0.891,0.501,0.777,1.0,1.0,0.947,1.0,0.924,Information Technology,2026-07-03,23.44,47.18,77
CYRX,,91.4,Squeeze / VCP prêt à casser,16.78,846852952.0,61.9,0.074,1.64,9.89,11.2,8553366.0,2.4,16.7,23.0,0.77,0.0,0.754,1.0,0.736,0.887,1.0,0.917,0.984,0.919,Industrials,2026-07-03,15.49,8.33,77
CBLL,,90.6,Squeeze / VCP prêt à casser,25.0,955230934.0,63.3,-0.127,2.04,6.7,3.26,7707712.0,2.4,37.7,4.0,0.86,0.0,0.962,0.682,0.72,0.93,1.0,0.854,0.992,0.918,Health Care,2026-07-03,19.55,27.88,77
ASIC,,90.3,Cup & Handle probable,28.17,1345069234.0,64.7,0.08,-0.42,3.76,14.65,1729281.0,2.9,24.1,37.0,0.72,0.0,0.933,1.0,0.635,0.862,1.0,0.814,0.984,0.905,Financials,2026-07-03,25.42,10.82,77
HRTG,,90.2,Squeeze / VCP prêt à casser,35.42,1035282725.0,64.4,-0.1,1.32,2.58,5.14,8880220.0,3.0,29.6,6.0,0.89,0.0,0.927,1.0,0.857,0.745,1.0,0.825,1.0,0.901,Financials,2026-07-03,27.12,30.6,77
PARR,,90.0,Cup & Handle probable,86.49,4196344758.0,63.2,0.336,1.87,3.47,7.43,68526832.0,0.6,25.8,45.0,0.64,0.0,0.946,1.0,0.524,0.822,1.0,0.812,0.976,0.979,Energy,2026-07-03,58.49,47.87,77
GCBC,,89.9,Squeeze / VCP prêt à casser,35.59,597083759.0,57.0,-0.004,0.85,1.02,3.76,1112770.0,2.0,13.3,10.0,1.0,0.0,0.827,1.0,0.724,0.87,1.0,0.801,0.976,0.932,Financials,2026-07-03,34.66,2.68,77
GIC,,89.8,Squeeze / VCP prêt à casser,40.42,1513282221.0,66.2,-0.064,1.43,4.55,3.53,4710855.0,-0.0,21.8,10.0,0.59,0.0,0.84,1.0,0.9,0.797,0.797,0.842,1.0,0.985,Industrials,2026-07-03,33.21,21.71,77
KARO,,89.7,Cup & Handle probable,68.71,2050388321.0,66.5,0.154,1.73,7.6,9.45,3505839.0,0.1,20.8,28.0,1.0,0.0,0.858,1.0,0.801,0.787,0.852,0.825,1.0,0.996,Information Technology,2026-07-03,53.87,27.55,77
CON,,89.5,Squeeze / VCP prêt à casser,35.53,4459295228.0,59.8,0.055,-2.31,3.77,1.55,25248875.0,3.2,18.4,22.0,0.92,0.0,0.858,1.0,0.716,0.807,1.0,0.855,0.976,0.893,Health Care,2026-07-03,31.91,11.34,77
AMTB,,89.3,Squeeze / VCP prêt à casser,29.58,1157276507.0,58.4,-0.006,0.54,1.09,1.44,8930223.0,3.0,18.5,20.0,0.88,0.0,0.821,1.0,0.655,0.939,1.0,0.81,0.929,0.899,Financials,2026-07-03,25.37,16.59,77
DV,,89.2,Squeeze / VCP prêt à casser,13.47,2086897895.0,68.6,-0.055,-0.15,0.75,1.51,46473067.0,1.3,24.2,8.0,0.7,0.0,0.869,1.0,0.952,0.761,1.0,0.732,0.976,0.956,Communication Services,2026-07-03,11.44,17.74,77
GMAB,,89.0,Squeeze / VCP prêt à casser,34.53,4490264719.0,63.5,-0.075,0.39,7.15,4.78,74057168.0,0.4,19.6,17.0,0.35,0.0,0.856,1.0,0.694,0.676,0.944,0.961,0.992,0.916,Health Care,2026-07-15,28.73,20.19,65
MSBI,,88.6,Squeeze / VCP prêt à casser,33.63,691460372.0,57.9,-0.003,0.9,0.96,1.48,4321718.0,3.2,15.8,8.0,1.0,0.0,0.793,1.0,0.828,0.864,1.0,0.802,0.929,0.892,Financials,2026-07-03,30.35,10.81,77
ZD,,88.3,Squeeze / VCP prêt à casser,59.13,1950599263.0,67.9,0.257,0.65,6.95,7.33,32604429.0,1.6,16.2,23.0,0.54,0.0,0.838,1.0,0.737,0.769,1.0,0.783,0.984,0.926,Communication Services,2026-07-03,52.43,12.78,77
DCTH,,88.2,Setup en formation,16.25,561253009.0,54.8,-0.144,0.18,2.85,-3.62,6373092.0,6.7,34.0,2.0,0.98,0.0,0.88,0.89,0.99,0.992,0.91,0.862,0.833,0.776,Health Care,2026-07-03,13.2,23.11,77
ACCO,,87.8,Squeeze / VCP prêt à casser,4.35,391845626.0,58.4,-0.006,2.35,3.57,3.47,2926348.0,2.9,16.7,10.0,0.49,0.0,0.771,1.0,0.809,0.745,1.0,0.831,0.968,0.904,Industrials,2026-07-03,4.2,3.57,77
HTGC,,87.4,Squeeze / VCP prêt à casser,17.76,3241680480.0,65.3,-0.054,1.08,2.13,6.67,26097443.0,0.9,15.4,13.0,0.33,0.0,0.826,1.0,0.71,0.667,1.0,0.812,0.984,0.968,Financials,2026-07-03,15.96,11.28,77
ITGR,,86.7,Squeeze / VCP prêt à casser,126.33,4292855742.0,76.5,-0.735,0.17,0.22,0.99,96383388.0,0.4,28.8,11.0,0.91,0.0,0.901,1.0,0.933,0.829,0.948,0.511,0.968,0.988,Health Care,2026-07-03,95.14,32.78,77
PRLB,,86.7,Setup en formation,86.42,2051063449.0,60.7,0.488,3.82,8.36,1.81,14436158.0,7.1,23.3,6.0,0.67,0.0,0.733,1.0,0.927,0.833,0.866,0.92,0.921,0.764,Industrials,2026-07-03,76.4,13.12,77
FTRE,,86.7,Cup & Handle probable,20.28,1855401000.0,64.6,0.26,1.55,19.15,15.23,24083113.0,5.2,24.9,61.0,0.58,0.01,0.742,1.0,0.429,0.75,1.0,0.998,0.984,0.827,Health Care,2026-07-03,17.28,17.36,77
HRMY,,86.5,Cup & Handle probable,42.74,2497176532.0,65.6,0.009,1.26,3.99,10.07,35910963.0,1.7,25.8,52.0,0.26,0.0,0.914,1.0,0.58,0.629,1.0,0.787,1.0,0.943,Health Care,2026-07-03,37.26,14.71,77
STLN,,86.4,Squeeze / VCP prêt à casser,6.63,711374483.0,60.4,0.018,1.53,6.94,3.59,7714014.0,6.0,33.3,7.0,1.0,0.0,0.905,0.926,0.828,0.644,1.0,0.842,1.0,0.801,Health Care,2026-08-11,6.16,7.63,38
USPH,,86.3,Squeeze / VCP prêt à casser,83.08,1227242684.0,67.1,0.387,-0.37,6.91,6.86,12703564.0,1.2,19.5,25.0,1.0,0.0,0.811,1.0,0.75,1.0,1.0,0.812,0.841,0.705,Health Care,2026-07-03,72.35,14.83,77
SHIP,,86.3,Squeeze / VCP prêt à casser,18.81,403028483.0,62.0,-0.029,2.9,3.12,10.65,6814373.0,2.1,28.4,3.0,0.0,0.0,0.91,1.0,0.893,0.5,1.0,0.805,1.0,0.929,Industrials,2026-07-03,13.43,40.06,77
PBYI,,86.1,Squeeze / VCP prêt à casser,9.52,489874426.0,60.0,-0.03,1.38,3.82,3.03,2736578.0,2.3,23.9,7.0,0.64,0.0,0.859,1.0,0.795,0.524,1.0,0.849,0.992,0.925,Health Care,2026-07-03,8.26,15.25,77
FMAO,,85.9,Cup & Handle probable,35.67,490324567.0,64.0,0.034,-0.31,0.73,2.41,1555772.0,0.9,22.3,53.0,1.0,0.0,0.856,1.0,0.681,0.862,1.0,0.542,0.968,0.958,Financials,2026-07-03,30.67,16.3,77
KRT,,85.5,Squeeze / VCP prêt à casser,50.38,984427700.0,68.8,-0.124,1.57,7.72,6.27,6828524.0,0.6,35.8,15.0,0.43,0.0,0.977,0.792,0.643,0.618,1.0,0.747,1.0,0.981,Consumer Discretionary,2026-07-03,34.25,47.09,77
LXP,,85.5,Squeeze / VCP prêt à casser,60.87,3587254728.0,63.0,-0.094,0.03,0.08,0.5,44408488.0,1.2,11.4,2.0,0.44,0.0,0.762,0.907,0.986,0.616,1.0,0.881,0.865,0.96,Real Estate,2026-07-03,55.56,9.56,77
BWIN,,85.4,Cup & Handle probable,31.95,4452786821.0,58.7,0.067,-0.28,8.71,5.79,121042193.0,2.3,24.6,36.0,0.0,0.0,0.86,1.0,0.658,0.5,1.0,0.902,0.976,0.923,Financials,2026-07-03,28.41,12.46,77
PBT,,85.3,Squeeze / VCP prêt à casser,34.86,1649951378.0,58.4,-0.124,0.03,-1.94,5.15,3376269.0,5.8,30.8,5.0,0.72,0.0,0.942,1.0,0.971,0.858,1.0,0.5,0.952,0.807,Energy,2026-07-03,24.8,40.56,77
AMWL,,85.1,Cup & Handle probable,13.63,229788321.0,60.3,0.067,2.25,6.57,11.72,1204331.0,3.9,38.9,39.0,0.97,0.0,1.0,0.617,0.637,0.985,1.0,0.547,0.984,0.868,Health Care,2026-07-15,10.88,25.28,65
CZNC,,85.1,Squeeze / VCP prêt à casser,25.93,459132595.0,57.8,-0.043,-0.12,0.0,-0.61,1602460.0,1.6,16.0,4.0,0.66,0.0,0.804,1.0,0.874,0.817,1.0,0.547,0.937,0.944,Financials,2026-07-03,23.63,9.73,77
EWTX,,85.0,Squeeze / VCP prêt à casser,46.94,4988187645.0,63.4,0.253,3.3,9.42,6.42,54098925.0,3.0,23.8,13.0,0.32,0.0,0.821,1.0,0.778,0.516,1.0,0.859,0.984,0.892,Health Care,2026-07-03,39.56,18.66,77
DMLP,,85.0,Squeeze / VCP prêt à casser,29.77,1455069333.0,63.9,-0.051,1.05,0.4,6.13,3057666.0,2.5,18.8,21.0,1.0,0.0,0.868,1.0,0.605,1.0,1.0,0.525,0.873,0.916,Energy,2026-07-03,25.37,17.34,77
CNXN,,84.8,Cup & Handle probable,86.46,2157605084.0,65.2,0.508,-0.76,4.69,9.64,10165516.0,2.1,16.4,70.0,0.8,0.0,0.854,1.0,0.42,0.899,1.0,0.54,0.984,0.929,Information Technology,2026-07-03,72.43,19.37,77
NEOG,,84.8,Cup & Handle probable,12.83,2823382235.0,72.0,0.049,2.23,9.01,10.89,25264084.0,0.6,29.9,29.0,0.26,0.0,0.905,1.0,0.655,0.63,1.0,0.643,1.0,0.956,Health Care,2026-07-03,9.34,37.37,77
LILAK,,84.8,Squeeze / VCP prêt à casser,8.57,1651437000.0,53.3,-0.024,-1.72,-1.27,3.25,10702357.0,3.9,22.5,13.0,0.71,0.0,0.898,1.0,0.851,0.853,1.0,0.519,0.929,0.871,Communication Services,2026-07-03,7.63,12.32,77
OPK,,84.6,Setup en formation,1.62,1216515007.0,60.6,-0.0,0.62,8.72,19.12,4531328.0,6.4,32.4,44.0,0.82,0.0,0.917,0.979,0.46,0.737,0.955,0.818,0.968,0.788,Health Care,2026-07-03,1.52,6.58,77
CXW,,84.6,Squeeze / VCP prêt à casser,35.54,3512696729.0,61.6,0.051,1.75,3.28,9.69,61409627.0,1.5,21.0,18.0,0.0,0.0,0.915,1.0,0.725,0.424,1.0,0.822,0.992,0.951,Industrials,2026-07-03,31.03,14.53,77
GNK,,84.5,Cup & Handle probable,28.1,1217809744.0,62.3,0.056,2.48,5.05,7.87,21043055.0,0.4,17.9,43.0,0.0,0.0,0.858,1.0,0.551,0.5,0.97,0.847,0.992,0.962,Industrials,2026-07-03,24.5,14.69,77
UTMD,,84.4,Momentum en formation,74.19,236080105.0,62.7,0.358,0.6,6.98,3.47,2651526.0,0.7,15.0,40.0,0.0,0.0,0.736,1.0,0.762,0.5,1.0,0.977,0.881,0.945,Health Care,2026-07-03,72.78,1.94,77
SBLK,,84.4,Squeeze / VCP prêt à casser,31.75,3606885051.0,61.4,-0.135,2.85,3.29,8.63,53904961.0,3.4,26.7,21.0,0.0,0.0,0.905,1.0,0.695,0.5,1.0,0.806,0.992,0.885,Industrials,2026-07-03,25.15,26.24,77
PVLA,,84.3,Squeeze / VCP prêt à casser,154.32,2195048764.0,55.7,-0.212,1.91,2.61,2.59,29647630.0,3.8,24.8,6.0,0.7,0.0,0.793,1.0,0.967,0.541,1.0,0.818,0.944,0.854,Health Care,2026-07-03,146.76,5.15,77
CGBD,,84.2,Squeeze / VCP prêt à casser,11.63,786092338.0,59.6,-0.043,2.11,2.2,3.75,5227233.0,3.9,17.8,8.0,0.8,0.0,0.777,1.0,0.725,0.902,1.0,0.84,0.706,0.864,Financials,2026-07-03,10.89,6.8,77
AVBC,,84.2,Squeeze / VCP prêt à casser,22.19,443340793.0,55.6,-0.012,-0.45,2.02,0.41,3548894.0,2.8,13.5,5.0,0.43,0.0,0.753,1.0,0.965,0.714,1.0,0.843,0.762,0.906,Financials,2026-07-03,21.07,5.32,77
MLAB,,84.0,Squeeze / VCP prêt à casser,127.14,706030792.0,60.8,-0.874,1.48,5.15,17.93,17316311.0,4.2,32.3,1.0,0.74,0.0,0.916,0.985,0.862,0.395,1.0,0.868,0.976,0.86,Information Technology,2026-07-03,105.54,20.47,77
WABC,,84.0,Momentum en formation,60.32,1392331412.0,61.4,0.201,1.09,2.05,1.91,9374850.0,4.4,12.5,34.0,0.59,0.0,0.731,1.0,0.739,0.795,1.0,0.828,0.817,0.853,Financials,2026-07-03,59.51,1.36,77
BOW,,83.9,Squeeze / VCP prêt à casser,33.74,1111002844.0,62.8,-0.084,0.15,0.36,0.78,11820385.0,3.8,18.7,2.0,0.1,0.0,0.801,1.0,0.99,0.406,1.0,0.879,0.96,0.874,Financials,2026-07-03,31.48,7.18,77
PUBM,,83.8,Setup en formation,17.33,789382557.0,63.2,-0.056,2.85,6.78,-0.17,9898719.0,6.0,33.8,5.0,0.52,0.0,0.917,0.901,0.682,0.658,0.998,0.867,0.976,0.677,Information Technology,2026-07-03,13.55,27.9,77
ADPT,,83.8,Cup & Handle probable,28.55,4525340100.0,73.7,0.264,3.18,17.83,16.25,51115518.0,0.6,29.5,54.0,0.95,0.13,0.899,1.0,0.432,0.974,1.0,0.66,1.0,0.98,Health Care,2026-07-03,21.19,34.73,77
SB,,83.7,Cup & Handle probable,9.01,1044768531.0,62.6,-0.037,2.97,7.52,12.2,11618156.0,3.2,30.8,31.0,0.0,0.0,0.921,1.0,0.414,0.5,1.0,0.864,0.984,0.893,Industrials,2026-07-03,6.4,40.78,77
HGTY,,83.6,Squeeze / VCP prêt à casser,13.87,4783433865.0,64.1,0.018,-0.22,2.82,8.27,7652234.0,2.1,20.6,9.0,0.0,0.0,0.875,1.0,0.548,0.5,1.0,0.814,0.976,0.929,Financials,2026-07-03,12.39,11.95,77
