sector,universe,confirmed,pre,events,pct_confirmed,pct_pre,pct_events,breadth,z_breadth,wow_pct_confirmed
Financials,137,30,87,18,21.897810218978105,63.503649635036496,13.138686131386862,94.16058394160584,2.3706974075682883,0.0
Consumer Discretionary,113,12,64,24,10.619469026548673,56.63716814159292,21.238938053097346,56.63716814159292,0.6245184103231199,0.0
Unknown,1638,113,626,0,6.898656898656899,38.21733821733822,0.0,52.014652014652015,0.4094063155631189,0.0
Communication Services,37,3,18,6,8.108108108108109,48.64864864864865,16.216216216216218,48.64864864864865,0.25276694100038016,0.0
Real Estate,62,5,29,9,8.064516129032258,46.774193548387096,14.516129032258066,48.38709677419355,0.24059543741718437,0.0
Industrials,171,11,68,20,6.432748538011696,39.76608187134503,11.695906432748536,40.93567251461989,-0.10616192100076072,0.0
Consumer Staples,59,4,17,1,6.779661016949152,28.8135593220339,1.694915254237288,40.67796610169492,-0.1181544732807377,0.0
Energy,35,2,17,7,5.714285714285714,48.57142857142857,20.0,40.0,-0.14970411081729282,0.0
Information Technology,134,10,46,16,7.462686567164178,34.32835820895522,11.940298507462686,37.31343283582089,-0.27472543568229774,0.0
Health Care,97,5,32,7,5.154639175257731,32.98969072164948,7.216494845360824,36.08247422680412,-0.33200897513934435,0.0
Materials,53,1,14,6,1.8867924528301887,26.41509433962264,11.320754716981133,18.867924528301884,-1.1331003600699086,0.0
Utilities,41,0,2,0,0.0,4.878048780487805,0.0,4.878048780487805,-1.7841292358817447,0.0
