ticker,sector,industry
A,Health Care,Unknown
AAPL,Information Technology,Unknown
ABBV,Health Care,Unknown
ABNB,Consumer Discretionary,Unknown
ABT,Health Care,Unknown
ACGL,Financials,Unknown
ACN,Information Technology,Unknown
ADBE,Information Technology,Unknown
ADI,Information Technology,Unknown
ADM,Consumer Staples,Unknown
ADP,Industrials,Unknown
ADSK,Information Technology,Unknown
AEE,Utilities,Unknown
AEP,Utilities,Unknown
AES,Utilities,Unknown
AFL,Financials,Unknown
AIG,Financials,Unknown
AIZ,Financials,Unknown
AJG,Financials,Unknown
AKAM,Information Technology,Unknown
ALB,Materials,Unknown
ALGN,Health Care,Unknown
ALL,Financials,Unknown
ALLE,Industrials,Unknown
AMAT,Information Technology,Unknown
AMCR,Materials,Unknown
AMD,Information Technology,Unknown
AME,Industrials,Unknown
AMGN,Health Care,Unknown
AMP,Financials,Unknown
AMT,Real Estate,Unknown
AMZN,Consumer Discretionary,Unknown
ANET,Information Technology,Unknown
AON,Financials,Unknown
AOS,Industrials,Unknown
APA,Energy,Unknown
APD,Materials,Unknown
APH,Information Technology,Unknown
APO,Financials,Unknown
APTV,Consumer Discretionary,Unknown
ARE,Real Estate,Unknown
ATO,Utilities,Unknown
AVB,Real Estate,Unknown
AVGO,Information Technology,Unknown
AVY,Materials,Unknown
AWK,Utilities,Unknown
AXON,Industrials,Unknown
AXP,Financials,Unknown
AZO,Consumer Discretionary,Unknown
BA,Industrials,Unknown
BAC,Financials,Unknown
BALL,Materials,Unknown
BAX,Health Care,Unknown
BBY,Consumer Discretionary,Unknown
BDX,Health Care,Unknown
BEN,Financials,Unknown
BF-B,Consumer Staples,Unknown
BG,Consumer Staples,Unknown
BIIB,Health Care,Unknown
BK,Financials,Unknown
BKNG,Consumer Discretionary,Unknown
BKR,Energy,Unknown
BLDR,Industrials,Unknown
BLK,Financials,Unknown
BMY,Health Care,Unknown
BR,Industrials,Unknown
BRK-B,Financials,Unknown
BRO,Financials,Unknown
BSX,Health Care,Unknown
BX,Financials,Unknown
BXP,Real Estate,Unknown
C,Financials,Unknown
CAG,Consumer Staples,Unknown
CAH,Health Care,Unknown
CARR,Industrials,Unknown
CAT,Industrials,Unknown
CB,Financials,Unknown
CBOE,Financials,Unknown
CBRE,Real Estate,Unknown
CCI,Real Estate,Unknown
CCL,Consumer Discretionary,Unknown
CDNS,Information Technology,Unknown
CDW,Information Technology,Unknown
CEG,Utilities,Unknown
CF,Materials,Unknown
CFG,Financials,Unknown
CHD,Consumer Staples,Unknown
CHRW,Industrials,Unknown
CHTR,Communication Services,Unknown
CI,Health Care,Unknown
CINF,Financials,Unknown
CL,Consumer Staples,Unknown
CLX,Consumer Staples,Unknown
CMCSA,Communication Services,Unknown
CME,Financials,Unknown
CMG,Consumer Discretionary,Unknown
CMI,Industrials,Unknown
CMS,Utilities,Unknown
CNC,Health Care,Unknown
CNP,Utilities,Unknown
COF,Financials,Unknown
COIN,Financials,Unknown
COO,Health Care,Unknown
COP,Energy,Unknown
COR,Health Care,Unknown
COST,Consumer Staples,Unknown
CPAY,Financials,Unknown
CPB,Consumer Staples,Unknown
CPRT,Industrials,Unknown
CPT,Real Estate,Unknown
CRL,Health Care,Unknown
CRM,Information Technology,Unknown
CRWD,Information Technology,Unknown
CSCO,Information Technology,Unknown
CSGP,Real Estate,Unknown
CSX,Industrials,Unknown
CTAS,Industrials,Unknown
CTRA,Energy,Unknown
CTSH,Information Technology,Unknown
CTVA,Materials,Unknown
CVS,Health Care,Unknown
CVX,Energy,Unknown
CZR,Consumer Discretionary,Unknown
D,Utilities,Unknown
DAL,Industrials,Unknown
DASH,Consumer Discretionary,Unknown
DAY,Industrials,Unknown
