etf,sector,chg_1d,chg_5d,chg_1m,chg_3m,rs_ratio,rs_mom,quadrant
XLE,Energy,0.74,0.9,12.23,11.44,108.3,0.36,Leading
XLV,Health Care,-2.12,-1.6,1.29,10.42,101.0,-6.21,Weakening
XLC,Communication Services,-0.46,0.04,0.23,0.64,99.2,-0.64,Lagging
XLK,Information Technology,0.57,0.99,0.2,2.38,100.9,4.79,Leading
XLU,Utilities,1.13,3.16,-0.1,0.74,96.2,0.96,Improving
XLF,Financials,-0.97,-0.31,-0.12,11.09,100.5,-3.13,Weakening
XLP,Consumer Staples,-0.68,-1.15,-1.31,1.83,97.2,-4.6,Lagging
XLB,Materials,-0.66,-1.13,-1.45,4.66,98.8,-3.5,Lagging
XLRE,Real Estate,0.48,0.07,-1.87,1.13,96.8,-3.01,Lagging
XLY,Consumer Discretionary,-0.63,-2.06,-4.73,-0.85,96.6,-3.35,Lagging
XLI,Industrials,-0.11,-0.03,-5.46,1.08,95.2,-2.57,Lagging
