ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
AMD,ia|semiconducteurs,83.9,Squeeze / VCP prêt à casser,552.33,56.1,-2.987,1.45,4.38,0.13,14995625810.0,5.5,32.7,24.0,0.78,0.0,0.934,0.96,0.516,0.557,1.0,0.864,0.984,0.815,878100438897.717,Direction,22.0,1,247,2026-01-05,221.08,149.83,199
BRKR,robotique,80.3,Setup en formation,59.74,54.8,-0.43,-1.14,1.84,5.68,124291840.0,7.4,35.5,1.0,0.75,0.0,0.911,0.805,0.747,0.613,0.83,0.826,0.921,0.755,9495834587.714508,,,0,2,2026-01-05,51.13,16.84,199
SNOW,ia,78.8,Setup en formation,267.8,61.1,-1.412,-1.45,-1.5,18.19,1491785255.0,6.0,48.8,34.0,1.0,0.0,1.0,0.069,0.672,1.0,0.996,0.52,0.937,0.799,90920114538.57422,Direction,7.0,2,6,2026-06-29,251.65,6.42,24
BWEN,equipement_electrique,75.8,Setup en formation,5.03,58.3,0.013,-1.18,2.24,-0.2,1715399.0,6.9,62.8,21.0,1.0,0.0,1.0,0.0,0.649,0.595,0.894,0.828,0.968,0.772,119478012.62639809,,,0,0,2026-06-12,4.18,20.33,41
GD,defense,73.4,Fin d'accumulation,373.16,61.3,-0.572,1.48,2.06,9.16,412856062.0,2.0,12.8,76.0,0.62,0.0,0.801,1.0,0.275,0.811,1.0,0.534,0.556,0.934,104172410023.46518,,,0,24,2026-01-05,350.93,6.33,199
VVX,defense|laser_photonique,72.9,En base (loin du pivot),81.0,59.4,0.588,2.7,7.07,-1.22,43152332.0,11.8,25.4,34.0,0.36,0.0,0.7,1.0,0.695,0.679,0.279,0.912,0.849,0.608,2644170278.247986,,,0,3,2026-01-05,59.92,35.18,199
AZZ,equipement_electrique,72.3,Setup en formation,150.79,53.8,-0.12,0.25,0.22,-4.55,55921333.0,6.9,19.8,27.0,0.0,0.0,0.756,1.0,0.602,0.208,0.89,0.831,0.841,0.771,4575942185.663864,Résultats,15.0,3,0,2026-01-05,110.65,36.28,199
SIF,defense,72.2,Cup & Handle probable,26.16,66.2,0.112,7.61,12.9,27.61,3292185.0,4.0,37.2,50.0,0.0,0.22,0.975,0.71,0.346,0.5,1.0,0.843,1.0,0.868,152882157.0513916,,,0,0,2026-03-11,14.57,79.55,134
ETN,equipement_electrique,70.4,Setup en formation,406.91,50.7,-0.568,0.98,-1.44,-6.62,913406757.0,6.8,15.8,1.0,0.64,0.0,0.712,1.0,0.743,0.557,0.896,0.815,0.452,0.772,160198990447.99805,,,0,25,2026-02-03,360.41,12.9,170
ASML,semiconducteurs,69.6,Setup en formation,1801.86,52.0,-8.444,0.02,-0.74,-6.6,3798997063.0,9.9,27.9,21.0,0.03,0.0,0.783,1.0,0.708,0.235,0.512,0.842,0.889,0.67,689958848754.8828,,,0,103,2026-01-05,1223.9,47.22,199
ZBRA,robotique,68.8,Squeeze / VCP prêt à casser,262.75,54.4,-1.004,0.13,2.97,6.94,188736484.0,5.1,23.5,12.0,1.0,0.0,0.439,1.0,0.768,1.0,1.0,0.52,0.77,0.15,12162710138.841309,,,0,6,2026-05-14,258.1,1.8,70
RTX,defense,68.4,Cup & Handle probable,194.88,56.4,-0.621,0.62,-0.52,7.18,844562508.0,4.4,16.6,40.0,0.79,0.0,0.78,1.0,0.477,0.765,1.0,0.533,0.452,0.708,282291773601.7573,Résultats,0.0,1,76,2026-01-05,186.86,4.29,199
