ticker,themes,n_themes,valid
ONDS,defense|equipement_electrique|espace|laser_photonique|robotique,5,True
POET,ia|laser_photonique|new_tech|quantique|semiconducteurs,5,True
NVTS,equipement_electrique|new_tech|robotique|semiconducteurs,4,True
AEHR,memoire|new_tech|semiconducteurs,3,True
AOSL,equipement_electrique|gestion_thermique|semiconducteurs,3,True
AVAV,defense|espace|robotique,3,True
BBAI,defense|ia|new_tech,3,True
BWXT,defense|gestion_thermique|production_energie,3,True
KOPN,defense|ia|laser_photonique,3,True
LASE,ia|laser_photonique|new_tech,3,True
NVDA,ia|robotique|semiconducteurs,3,True
PLTR,defense|ia|new_tech,3,True
QUBT,laser_photonique|new_tech|quantique,3,True
RDW,defense|espace|new_tech,3,True
SMCI,gestion_thermique|ia|semiconducteurs,3,True
VRT,equipement_electrique|gestion_thermique|ia,3,True
WOLF,equipement_electrique|new_tech|semiconducteurs,3,True
AAOI,laser_photonique|semiconducteurs,2,True
AEVA,ia|laser_photonique,2,True
AMBA,ia|semiconducteurs,2,True
AMD,ia|semiconducteurs,2,True
AVGO,ia|semiconducteurs,2,True
BE,equipement_electrique|production_energie,2,True
BKSY,espace|robotique,2,True
CMTL,defense|espace,2,True
EOSE,equipement_electrique|new_tech,2,True
FCEL,new_tech|production_energie,2,True
GEV,equipement_electrique|production_energie,2,True
GWH,equipement_electrique|new_tech,2,True
IONQ,new_tech|quantique,2,True
KRMN,defense|espace,2,True
KTOS,defense|espace,2,True
KULR,gestion_thermique|new_tech,2,True
LASR,laser_photonique|semiconducteurs,2,True
LSCC,ia|semiconducteurs,2,True
LWLG,laser_photonique|semiconducteurs,2,True
MRCY,defense|espace,2,True
MRVL,ia|semiconducteurs,2,True
MTSI,laser_photonique|semiconducteurs,2,True
MVIS,laser_photonique|robotique,2,True
NLST,laser_photonique|memoire,2,True
NNDM,new_tech|robotique,2,True
NNE,new_tech|production_energie,2,True
NVT,equipement_electrique|gestion_thermique,2,True
OKLO,new_tech|production_energie,2,True
OPXS,defense|laser_photonique,2,True
OUST,laser_photonique|robotique,2,True
PATH,ia|robotique,2,True
PDYN,defense|robotique,2,True
PENG,memoire|semiconducteurs,2,True
PLUG,new_tech|production_energie,2,True
POWI,equipement_electrique|semiconducteurs,2,True
QBTS,new_tech|quantique,2,True
RCAT,defense|robotique,2,True
RGTI,new_tech|quantique,2,True
RKLB,espace|new_tech,2,True
RR,ia|robotique,2,True
SERV,ia|robotique,2,True
SMR,new_tech|production_energie,2,True
SOUN,ia|new_tech,2,True
SPXC,equipement_electrique|gestion_thermique,2,True
UCTT,memoire|semiconducteurs,2,True
ULBI,defense|equipement_electrique,2,True
VOYG,defense|espace,2,True
VUZI,ia|laser_photonique,2,True
VVX,defense|laser_photonique,2,True
AAON,gestion_thermique,1,True
ABAT,new_tech,1,True
ACLS,semiconducteurs,1,True
ADI,semiconducteurs,1,True
AEIS,equipement_electrique,1,True
AEYE,ia,1,True
AIRI,defense,1,True
AIRJ,gestion_thermique,1,True
AIRO,defense,1,True
AITX,ia,1,True
ALAB,ia,1,True
ALGM,semiconducteurs,1,True
ALNT,gestion_thermique,1,True
AMAT,semiconducteurs,1,True
AMKR,semiconducteurs,1,True
AMPG,quantique,1,True
AMPX,new_tech,1,True
AMRC,gestion_thermique,1,True
AMSC,equipement_electrique,1,True
AMST,ia,1,True
APLD,ia,1,True
ARM,semiconducteurs,1,True
ARQQ,quantique,1,True
ASML,semiconducteurs,1,True
ASPI,production_energie,1,True
ASPN,robotique,1,True
ASTS,espace,1,True
ATKR,equipement_electrique,1,True
ATRO,defense,1,True
AXON,defense,1,True
AXTI,semiconducteurs,1,True
AYI,equipement_electrique,1,True
AZZ,equipement_electrique,1,True
BAH,defense,1,True
BLDP,production_energie,1,True
BNRG,new_tech,1,True
BOTT,robotique,1,True
BRKR,robotique,1,True
BTQ,quantique,1,True
BWEN,equipement_electrique,1,True
BWMN,gestion_thermique,1,True
BYRN,defense,1,True
CAMT,semiconducteurs,1,True
CARR,gestion_thermique,1,True
CBRS,ia,1,True
CCJ,production_energie,1,True
CDRE,defense,1,True
CEG,production_energie,1,True
CEVA,semiconducteurs,1,True
CGNX,robotique,1,True
COHR,laser_photonique,1,True
COHU,semiconducteurs,1,True
CPST,equipement_electrique,1,True
CRDO,ia,1,True
CRNC,ia,1,True
CRUS,semiconducteurs,1,True
CRWV,ia,1,True
CTS,gestion_thermique,1,True
CVU,defense,1,True
CVV,new_tech,1,True
CW,defense,1,True
DCO,defense,1,True
DIOD,semiconducteurs,1,True
DNN,production_energie,1,True
DPRO,defense,1,True
DRS,defense,1,True
DUOT,ia,1,True
ECHO,espace,1,True
EMR,equipement_electrique,1,True
ENPH,production_energie,1,True
ENS,equipement_electrique,1,True
ENVX,new_tech,1,True
ERII,gestion_thermique,1,True
ESE,equipement_electrique,1,True
ETN,equipement_electrique,1,True
EU,production_energie,1,True
FEAM,new_tech,1,True
FIX,gestion_thermique,1,True
FLNC,equipement_electrique,1,True
FLY,espace,1,True
FN,laser_photonique,1,True
FNUC,new_tech,1,True
FORM,semiconducteurs,1,True
FPS,equipement_electrique,1,True
FRMI,production_energie,1,True
FSLR,production_energie,1,True
GD,defense,1,True
GDYN,ia,1,True
GFAI,ia,1,True
GFS,semiconducteurs,1,True
GFUZ,new_tech,1,True
GHM,gestion_thermique,1,True
GLATF,production_energie,1,True
GNRC,equipement_electrique,1,True
GOOGL,ia,1,True
GSAT,espace,1,True
GSIT,memoire,1,True
HDRN,new_tech,1,True
HEI,defense,1,True
HII,defense,1,True
HIMX,semiconducteurs,1,True
HQ,quantique,1,True
HUBB,equipement_electrique,1,True
HYLN,equipement_electrique,1,True
ICHR,semiconducteurs,1,True
IMOS,semiconducteurs,1,True
INDI,semiconducteurs,1,True
INFQ,quantique,1,True
