symbol,exchange,err
FTI,NASDAQ,Exchange or symbol not found.
PFGC,NASDAQ,Exchange or symbol not found.
SYY,NASDAQ,Exchange or symbol not found.
VOYA,NASDAQ,Exchange or symbol not found.
GE,NASDAQ,Exchange or symbol not found.
NLY,NASDAQ,Exchange or symbol not found.
TRV,NASDAQ,Exchange or symbol not found.
DDS,NASDAQ,Exchange or symbol not found.
MCD,NASDAQ,Exchange or symbol not found.
ORI,NASDAQ,Exchange or symbol not found.
AFG,NASDAQ,Exchange or symbol not found.
BSX,NASDAQ,Exchange or symbol not found.
MTG,NASDAQ,Exchange or symbol not found.
RBLX,NASDAQ,Exchange or symbol not found.
WRB,NASDAQ,Exchange or symbol not found.
TJX,NASDAQ,Exchange or symbol not found.
HIG,NASDAQ,Exchange or symbol not found.
AN,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AN,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AN,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AN,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AN,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AN,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THG,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THG,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THG,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THG,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THG,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THG,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HSY,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HSY,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HSY,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HSY,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HSY,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HSY,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
L,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
L,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
L,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
L,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
L,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
L,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GLW,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GLW,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GLW,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GLW,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GLW,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GLW,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BKR,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BKR,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BKR,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BKR,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BKR,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BKR,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THC,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THC,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THC,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THC,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THC,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
THC,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
T,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
T,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
T,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
T,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
T,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
T,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HALO,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HALO,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HALO,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HALO,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HALO,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HALO,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HPE,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HPE,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HPE,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HPE,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HPE,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HPE,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
LITE,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
LITE,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
LITE,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
LITE,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
LITE,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
LITE,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
OZK,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
OZK,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
OZK,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
OZK,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
OZK,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
OZK,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TOL,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TOL,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TOL,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TOL,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TOL,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TOL,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NVR,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NVR,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NVR,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NVR,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NVR,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NVR,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HCA,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HCA,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
