ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol
ABT,ABT,NYQ,231150492600.75,132.80999755859375,Health Care,Health Care Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,4841660.0
ABBV,ABBV,NYQ,376277280000.0,213.0,Health Care,Pharmaceuticals,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,4043391.9
AYI,AYI,NYQ,10400844932.958984,339.3999938964844,Industrials,Electrical Components & Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,215010.0
ACM,ACM,NYQ,16680249563.354492,125.94000244140625,Industrials,Construction & Engineering,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,986480.0
AMG,AMG,NYQ,6621439991.706848,233.0500030517578,Financials,Asset Management & Custody Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,178910.0
AGNC,AGNC,NMS,10625645638.105774,10.199999809265137,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,20102520.0
AL,AL,NYQ,7112724531.784058,63.63999938964844,Industrials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2756600.0
ALLY,ALLY,NYQ,12798696548.601562,41.56999969482422,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2420593.9
GOOGL,GOOGL,NMS,2811852127205.297,232.3000030517578,Communication Services,Interactive Media & Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,41858070.0
GOOG,GOOG,NMS,2810835413919.8438,232.66000366210938,Communication Services,Interactive Media & Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,27605628.0
AMZN,AMZN,NMS,2513503455845.0625,235.67999267578125,Consumer Discretionary,Broadline Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,32670340.0
AFG,AFG,NYQ,11648542590.480469,139.67999267578125,Financials,Multi-line Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,406740.0
NLY,NLY,NYQ,13997257007.734863,21.799999237060547,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,6426870.0
AM,AM,NYQ,8654455207.719727,18.09000015258789,Energy,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2169937.3
T,T,NYQ,211508528555.26855,29.579999923706055,Communication Services,Integrated Telecommunication Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,30571240.0
AN,AN,NYQ,8508736098.083496,225.66000366210938,Consumer Discretionary,Automotive Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,372230.0
AXS,AXS,NYQ,7761896531.570435,99.29000091552734,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,535320.0
OZK,OZK,NMS,5962088164.375305,52.93000030517578,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,764880.0
BOKF,BOKF,NMS,7188054300.0,113.0,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,186290.0
BSX,BSX,NYQ,158976960573.22266,107.29000091552734,Health Care,Health Care Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,6179660.0
BRX,BRX,NYQ,8613653813.171387,28.139999389648438,Real Estate,Retail REITs,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1994921.3
BURL,BURL,NYQ,18995597634.735107,301.3500061035156,Consumer Discretionary,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1272690.3
CIEN,CIEN,NYQ,16528630316.509277,116.91999816894531,Information Technology,Communications Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3273190.0
CINF,CINF,NMS,24330541267.333984,155.58999633789062,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,400940.0
DDS,DDS,NYQ,8912279809.570312,571.2999877929688,Consumer Discretionary,Broadline Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,145900.0
DCI,DCI,NYQ,9393842720.031738,80.62000274658203,Industrials,Industrial Machinery & Supplies & Components,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,916140.0
ELF,ELF,NYQ,7586590897.25647,133.72000122070312,Consumer Staples,Personal Care Products,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1817541.4
EHC,EHC,NYQ,12538123858.12378,124.4800033569336,Health Care,Health Care Facilities,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,714820.0
EQH,EQH,NYQ,16195911428.588867,54.06999969482422,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2746787.8
FITB,FITB,NMS,30618890398.804688,46.2599983215332,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3732320.0
FHN,FHN,NYQ,11571577384.857178,22.790000915527344,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,11527540.0
FIVE,FIVE,NMS,8426232568.29071,152.8000030517578,Consumer Discretionary,Other Specialty Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1723790.7
FLEX,FLEX,NMS,21069808932.067383,55.16999816894531,Information Technology,Electronic Manufacturing Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3491020.0
FNB,FNB,NYQ,6030028088.806152,16.790000915527344,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,9205800.0
BEN,BEN,NYQ,13364079387.085693,25.739999771118164,Financials,Asset Management & Custody Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3339270.0
GE,GE,NYQ,299330387149.6582,282.2699890136719,Industrials,Aerospace & Defense,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,4141340.0
THG,THG,NYQ,6486604205.004883,181.33999633789062,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,182680.0
