ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,local_label,tv_reco,tv_symbol_used,tv_exchange_used,bc_label,bc_score,final_signal,analyst_bucket,analyst_mean,analyst_votes,inv_d_label,inv_w_label,inv_m_label,inv_d_vote,inv_w_vote,inv_m_vote,rank_score
TJX,TJX,NYQ,155221747621.60938,139.47000122070312,Consumer Discretionary,Apparel Retail,Strong Buy,6,STRONG_BUY,STRONG_BUY,TJX,NYSE,,,STRONG_BUY,Strong Buy,1.47619,18.0,,,,,,,6.42
FSLR,FSLR,NMS,21609400109.13086,201.49000549316406,Information Technology,Semiconductors,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.58824,30.0,,,,,,,6.0
DKNG,DKNG,NMS,23671690514.390625,47.68000030517578,Consumer Discretionary,Gambling,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.47059,33.0,,,,,,,6.0
PODD,PODD,NMS,24181934064.95166,343.5299987792969,Health Care,Medical Devices,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.45833,23.0,,,,,,,6.0
UAL,UAL,NMS,34367390305.54199,106.16000366210938,Industrials,Passenger Airlines,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.45455,20.0,,,,,,,6.0
DAL,DAL,NYQ,40006122298.25586,61.27000045776367,Industrials,Passenger Airlines,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.45455,20.0,,,,,,,6.0
TTWO,TTWO,NMS,44062504312.59155,238.86000061035156,Communication Services,Interactive Home Entertainment,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.37037,27.0,,,,,,,6.0
BSX,BSX,NYQ,159332577411.70312,107.52999877929688,Health Care,Health Care Equipment,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.36364,31.0,,,,,,,6.0
ANET,ANET,NYQ,172668808935.14062,137.3800048828125,Information Technology,Communications Equipment,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.57143,24.0,,,,,,,6.0
LYFT,LYFT,NMS,6876998400.2890625,16.920000076293945,Industrials,Passenger Ground Transportation,Strong Buy,6,STRONG_BUY,STRONG_BUY,LYFT,NASDAQ,,,STRONG_BUY,Buy,2.47619,35.0,,,,,,,5.8999999999999995
TRV,TRV,NYQ,62260804951.78223,276.54998779296875,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,STRONG_BUY,TRV,NYSE,,,STRONG_BUY,Buy,2.43478,20.0,,,,,,,5.8999999999999995
BRX,BRX,NYQ,8567738929.93927,27.989999771118164,Real Estate,Retail REITs,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.52941,17.0,,,,,,,5.88
WYNN,WYNN,NMS,13051192690.956116,125.5199966430664,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.5,17.0,,,,,,,5.88
INSM,INSM,NMS,30332313648.0,143.5,Health Care,Biotechnology,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.26316,17.0,,,,,,,5.88
BROS,BROS,NYQ,11797657913.05835,71.70999908447266,Consumer Discretionary,Restaurants,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.47059,16.0,,,,,,,5.84
BURL,BURL,NYQ,18485013750.0,293.25,Consumer Discretionary,Apparel Retail,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.27778,16.0,,,,,,,5.84
DD,DD,NYQ,31642442957.657715,75.56999969482422,Materials,Specialty Chemicals,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.41176,16.0,,,,,,,5.84
WAL,WAL,NYQ,9881336435.272217,89.52999877929688,Financials,Banks - Regional,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.46667,15.0,,,,,,,5.8
TOL,TOL,NYQ,13569761922.897339,140.7899932861328,Consumer Discretionary,Homebuilding,Strong Buy,6,STRONG_BUY,STRONG_BUY,TOL,NYSE,,,STRONG_BUY,Buy,1.82353,16.0,,,,,,,5.739999999999999
SSB,SSB,NYQ,10400192556.503296,101.4000015258789,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.58333,12.0,,,,,,,5.68
ACM,ACM,NYQ,16433899922.51587,124.08000183105469,Industrials,Construction & Engineering,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.53846,11.0,,,,,,,5.640000000000001
AGNC,AGNC,NMS,10365213142.105774,9.949999809265137,Financials,REIT - Mortgage,Strong Buy,6,STRONG_BUY,STRONG_BUY,AGNC,NASDAQ,,,STRONG_BUY,Buy,2.06667,12.0,,,,,,,5.58
TEM,TEM,NMS,13609854933.34961,76.28500366210938,Health Care,Health Information Services,Strong Buy,6,STRONG_BUY,STRONG_BUY,TEM,NASDAQ,,,STRONG_BUY,Buy,2.15385,11.0,,,,,,,5.54
NLY,NLY,NYQ,13798213780.720459,21.489999771118164,Financials,REIT - Mortgage,Strong Buy,6,STRONG_BUY,STRONG_BUY,NLY,NYSE,,,STRONG_BUY,Buy,2.0,11.0,,,,,,,5.54
R,R,NYQ,7589091254.483032,186.0500030517578,Industrials,Cargo Ground Transportation,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.5,8.0,,,,,,,5.5200000000000005
AMG,AMG,NYQ,6552966726.65863,230.63999938964844,Financials,Asset Management & Custody Banks,Strong Buy,6,STRONG_BUY,,,,,,STRONG_BUY,Strong Buy,1.42857,7.0,,,,,,,5.48
