ticker_yf,ticker_tv,price,last,mcap_usd_final,mcap,avg_dollar_vol,tv_score,tv_reco,analyst_bucket,analyst_votes,sector,industry,p_tech,p_tv,p_an,pillars_met,votes_bin,rank_score,bucket
LLY,LLY,756.280029296875,756.280029296875,,,2971967757.52843,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
CRM,CRM,246.27999877929688,246.27999877929688,,,2566737088.4549866,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
COIN,COIN,323.95001220703125,323.95001220703125,,,2541685208.476227,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
COST,COST,964.3200073242188,964.3200073242188,,,1957903396.0717895,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
XOM,XOM,112.13999938964844,112.13999938964844,,,1623333055.7593346,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
NOW,NOW,938.280029296875,938.280029296875,,,1501789389.925171,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
AMAT,AMAT,170.14999389648438,170.14999389648438,,,1423766875.8758163,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
CRWD,CRWD,433.3800048828125,433.3800048828125,,,1414141606.8844056,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
ADBE,ADBE,350.54998779296875,350.54998779296875,,,1348286154.2355042,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
QCOM,QCOM,161.50999450683594,161.50999450683594,,,1116904524.019673,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
SMCI,SMCI,43.95000076293945,43.95000076293945,,,1088265367.648259,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
PG,PG,158.6300048828125,158.6300048828125,,,988554340.1152833,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
IBM,IBM,257.010009765625,257.010009765625,,,969256361.9459594,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
WDAY,WDAY,226.6699981689453,226.6699981689453,,,852898632.893898,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
PM,PM,167.89999389648438,167.89999389648438,,,837047380.8035675,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
ELV,ELV,314.8900146484375,314.8900146484375,,,682630354.0620606,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
CEG,CEG,318.0,318.0,,,648354439.07146,0.55,HOLD,HOLD,20.0,Utilities,Unknown,False,False,False,0,10-20,0.265,event
PGR,PGR,248.8000030517578,248.8000030517578,,,647085995.403479,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
LMT,LMT,470.7300109863281,470.7300109863281,,,637575259.3621765,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
FTNT,FTNT,80.88999938964844,80.88999938964844,,,628517908.3470566,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
DUOL,DUOL,309.3399963378906,309.3399963378906,,,596167258.8386475,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
VRTX,VRTX,397.3699951171875,397.3699951171875,,,575924690.8977966,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
MCHP,MCHP,65.0199966430664,65.0199966430664,,,507538024.1363262,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
SLB,SLB,36.02999877929688,36.02999877929688,,,504264964.12870103,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
MCK,MCK,719.7999877929688,719.7999877929688,,,503785811.9089386,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
ZS,ZS,286.6600036621094,286.6600036621094,,,489405191.1297226,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
FICO,FICO,1596.56005859375,1596.56005859375,,,488300530.9050293,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
CI,CI,305.8699951171875,305.8699951171875,,,469449049.0804871,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
CB,CB,282.8900146484375,282.8900146484375,,,457371267.0848694,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
APO,APO,136.39999389648438,136.39999389648438,,,440896457.56168365,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
CNC,CNC,34.08000183105469,34.08000183105469,,,438484456.21458817,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
OKTA,OKTA,91.95999908447266,91.95999908447266,,,419699960.35926056,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
AJG,AJG,300.6099853515625,300.6099853515625,,,411556372.9561707,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
TEAM,TEAM,176.7100067138672,176.7100067138672,,,396263663.3899147,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
