ticker,mcap_usd,price,name
GNTX,4999515445.0,23.73,Gentex Corporation Common Stock
BMA,4996515499.0,78.14,Banco Macro S.A.  ADR (representing Ten Class B Common Share
PI,4978841598.0,162.95,Impinj Inc. Common Stock
GHC,4976590941.0,1175.13,Graham Holdings Company Common Stock
SKY,4975859884.0,91.67,Champion Homes Inc. Common Stock
CUZ,4961106028.0,30.14,Cousins Properties Incorporated Common Stock
MUR,4958119303.0,34.58,Murphy Oil Corporation Common Stock
OCTV,4952677189.0,18.45,Octave Intelligence plc Class B Ordinary Shares
SR,4947741946.0,83.7,Spire Inc. Common Stock
GBTG,4944264638.0,9.46,Global Business Travel Group Inc. Class A Common Stock
CHH,4943760222.0,109.42,Choice Hotels International Inc. Common Stock
MTRN,4921967531.0,236.25,Materion Corporation
ENPH,4921066692.0,37.24,Enphase Energy Inc. Common Stock
PAY,4907868044.0,38.97,Paymentus Holdings Inc. Class A Common Stock
BOOT,4907658970.0,162.05,Boot Barn Holdings Inc. Common Stock
OII,4907309147.0,49.3,Oceaneering International Inc. Common Stock
DYN,4903961278.0,26.26,Dyne Therapeutics Inc. Common Stock
HAE,4901397304.0,107.73,Haemonetics Corporation Common Stock
ALK,4894354828.0,43.85,Alaska Air Group Inc. Common Stock
CE,4888217164.0,44.54,Celanese Corporation Common Stock
FHI,4876436254.0,65.31,Federated Hermes Inc. Common Stock
ATAT,4866945337.0,35.77,Atour Lifestyle Holdings Limited American Depositary Shares
SIM,4865937072.0,29.33,Grupo Simec S.A.B. de C.V. American Depositary Shares
RDN,4862073437.0,36.75,Radian Group Inc. Common Stock
FFIN,4855935937.0,33.88,First Financial Bankshares Inc. Common Stock
CNR,4850951397.0,97.73,Core Natural Resources Inc. Common Stock
UFPI,4848970866.0,87.91,UFP Industries Inc. Common Stock
KBR,4829025355.0,38.3,KBR Inc. Common Stock
TREX,4798869101.0,47.11,Trex Company Inc. Common Stock
TKC,4782800000.0,5.43,Turkcell Iletisim Hizmetleri AS Common Stock
MTH,4781823203.0,73.37,Meritage Homes Corporation Common Stock
CGAU,4779067982.0,23.93,Centerra Gold Inc. Common Shares
EWTX,4776409593.0,43.98,Edgewise Therapeutics Inc. Common Stock
USAR,4767147529.0,19.48,USA Rare Earth Inc. Class A Common Stock
ALH,4755035176.0,23.92,Alliance Laundry Holdings Inc. Common Stock
IEP,4748912821.0,6.68,Icahn Enterprises L.P. Common Stock
LFST,4743220386.0,12.41,LifeStance Health Group Inc. Common Stock
VSH,4737836455.0,30.89,Vishay Intertechnology Inc. Common Stock
FRVO,4732423160.0,16.05,Fervo Energy Company Class A common stock
VRNS,4731103377.0,41.19,Varonis Systems Inc. Common Stock
MYRG,4730872305.0,303.86,MYR Group Inc. Common Stock
ACHR,4724190393.0,6.07,Archer Aviation Inc. Class A Common Stock
EQPT,4716593551.0,18.61,EquipmentShare.com Inc Class A Common Stock
PBLS,4713445960.0,38.65,Parabilis Medicines Inc. Common Stock
RUM,4710444748.0,9.5,RUM Group Inc. Class A Common Stock
NP,4694744009.0,34.21,Neptune Insurance Holdings Inc. Class A Common Stock
BULL,4691063859.0,8.86,Webull Corporation Class A Ordinary Shares
BDC,4687233619.0,119.94,Belden Inc Common Stock
CVSA,4676253092.0,137.38,Covista Inc. Common Shares
INSW,4667384967.0,94.23,International Seaways Inc. Common Stock 
CRC,4655938791.0,52.42,California Resources Corporation Common Stock
EPR,4653225922.0,60.74,EPR Properties Common Stock
ONDS,4652854341.0,8.15,Ondas Inc. Common Stock
HGTY,4620556715.0,13.45,Hagerty Inc. Class A Common Stock
