universe,ticker,first_date,first_price,first_score
thematic,AAOI,2026-01-05,34.99,52.8
thematic,AAON,2026-02-03,93.19,58.1
thematic,ABAT,2026-01-20,4.85,50.8
thematic,ACLS,2026-01-05,89.04,73.7
thematic,ADI,2026-01-05,275.67,76.3
thematic,AEHR,2026-01-05,23.49,53.3
thematic,AEIS,2026-01-05,227.51,91.4
thematic,AEVA,2026-03-25,15.26,51.4
thematic,AEYE,2026-05-29,7.68,50.7
thematic,AIRJ,2026-05-07,3.48,53.9
thematic,ALAB,2026-01-05,167.11,50.7
thematic,ALGM,2026-01-12,30.17,51.8
thematic,ALNT,2026-01-05,58.26,84.3
thematic,AMAT,2026-01-05,283.61,79.9
thematic,AMBA,2026-01-05,77.11,57.2
thematic,AMD,2026-01-05,221.08,67.3
thematic,AMKR,2026-01-05,47.98,60.5
thematic,AMPG,2026-01-05,3.65,52.6
thematic,AMPX,2026-01-27,11.58,51.8
thematic,AMRC,2026-01-05,30.92,52.7
thematic,AMSC,2026-04-09,36.15,62.2
thematic,AOSL,2026-02-03,22.27,51.4
thematic,APLD,2026-01-20,35.46,56.3
thematic,ARM,2026-04-01,155.07,52.4
thematic,ASML,2026-01-05,1223.9,70.1
thematic,ASPI,2026-05-14,6.09,51.6
thematic,ASPN,2026-04-09,3.74,50.4
thematic,ASTS,2026-01-12,98.39,54.5
thematic,ATKR,2026-01-05,65.77,55.0
thematic,ATRO,2026-01-05,46.39,79.1
thematic,AVGO,2026-01-12,350.92,54.8
thematic,AXON,2026-06-29,510.6,50.3
thematic,AXTI,2026-01-05,16.67,60.1
thematic,AYI,2026-01-05,376.18,83.3
thematic,AZZ,2026-01-05,110.65,71.1
thematic,BBAI,2026-01-12,6.31,51.8
thematic,BE,2026-01-27,152.31,59.5
thematic,BKSY,2026-01-05,22.72,51.7
thematic,BLDP,2026-01-05,2.76,50.2
thematic,BOTT,2026-02-03,57.01,50.3
thematic,BRKR,2026-01-05,51.13,73.9
thematic,BWEN,2026-06-12,4.18,60.0
thematic,BWMN,2026-02-10,35.65,53.1
thematic,BWXT,2026-01-05,188.51,63.0
thematic,CAMT,2026-01-05,123.88,81.9
thematic,CARR,2026-02-03,60.98,50.1
