ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes
MMM,MMM,NYQ,80440444915.48438,151.02499389648438,Industrials,Industrial Conglomerates,Sell,-2,SELL,Buy,2.11111,17.0
AOS,AOS,NYQ,9925408156.585693,70.83000183105469,Industrials,Building Products,Neutral,-1,NEUTRAL,Hold,2.6,12.0
AAON,AAON,NMS,6548546120.398804,80.31999969482422,Industrials,Building Products,Sell,-3,SELL,,,4.0
ACHC,ACHC,NMS,2162757379.0454865,23.420000076293945,Health Care,Health Care Facilities,Neutral,0,BUY,Buy,1.71429,14.0
AYI,AYI,NYQ,10119525893.408203,330.2200012207031,Industrials,Electrical Components & Equipment,Strong Buy,4,BUY,Buy,2.0,8.0
ADBE,ADBE,NMS,147405253857.42188,347.55499267578125,Information Technology,Application Software,Strong Sell,-4,STRONG_SELL,Buy,1.97436,34.0
ADT,ADT,NYQ,7056796836.116699,8.604999542236328,Consumer Discretionary,Security & Protection Services,Neutral,-1,NEUTRAL,Buy,2.2,5.0
WMS,WMS,NYQ,11132375930.768555,141.72000122070312,Industrials,Building Products & Equipment,Buy,2,BUY,Strong Buy,1.4,10.0
ACM,ACM,NYQ,16452442281.677246,124.22000122070312,Industrials,Construction & Engineering,Strong Buy,4,BUY,Strong Buy,1.53846,11.0
AES,AES,NYQ,9452463265.974487,13.274999618530273,Utilities,Independent Power Producers & Energy Traders,Neutral,1,NEUTRAL,Buy,2.35714,12.0
AMG,AMG,NYQ,6475401815.048218,227.91000366210938,Financials,Asset Management & Custody Banks,Strong Buy,4,BUY,Strong Buy,1.42857,7.0
AFRM,AFRM,NMS,27538591692.003906,84.56500244140625,Information Technology,Software - Infrastructure,Strong Buy,4,BUY,Buy,1.78261,19.0
AFL,AFL,NYQ,56857883154.740234,106.30999755859375,Financials,Life & Health Insurance,Neutral,0,,,,13.0
AGCO,AGCO,NYQ,8082113679.821777,108.30999755859375,Industrials,Agricultural & Farm Machinery,Sell,-2,,Hold,2.6,13.0
A,A,NYQ,35386469913.482666,124.81999969482422,Health Care,Health Care Equipment,Strong Buy,4,,Buy,2.22222,15.0
ADC,ADC,NYQ,8000778946.121216,72.06999969482422,Real Estate,REIT - Retail,Sell,-3,,Buy,1.71429,19.0
AGNC,AGNC,NMS,10318683592.0,9.875,Financials,REIT - Mortgage,Strong Buy,6,,Buy,2.06667,12.0
AL,AL,NYQ,7131165859.107971,63.80500030517578,Industrials,Rental & Leasing Services,Strong Buy,6,,Strong Buy,1.33333,3.0
APD,APD,NYQ,64950158544.98291,291.8399963378906,Materials,Industrial Gases,Neutral,-1,,Buy,2.04167,22.0
ABNB,ABNB,NMS,76561806521.6128,125.12000274658203,Consumer Discretionary,"Hotels, Resorts & Cruise lines",Sell,-2,,Hold,2.64444,35.0
AKAM,AKAM,NMS,11057928713.821411,77.12000274658203,Information Technology,Internet Services & Infrastructure,Neutral,-1,,Buy,2.375,22.0
ALK,ALK,NYQ,7255304988.861084,62.91999816894531,Industrials,Passenger Airlines,Buy,2,,Strong Buy,1.42857,14.0
ALB,ALB,NYQ,9407579307.312012,79.94000244140625,Materials,Specialty Chemicals,Neutral,-1,,Hold,2.64,22.0
ACI,ACI,NYQ,10737846757.731445,19.18000030517578,Consumer Staples,Food Retail,Strong Sell,-4,,Buy,2.1,16.0
AA,AA,NYQ,8122164018.250122,31.3700008392334,Materials,Aluminum,Neutral,1,,Buy,2.08333,11.0
ARE,ARE,NYQ,13910347001.259033,81.4800033569336,Real Estate,Office REITs,Buy,2,,Buy,2.41667,12.0
ALGN,ALGN,NMS,9602273496.484375,132.47000122070312,Health Care,Health Care Supplies,Strong Sell,-4,,Buy,2.0,14.0
ALGM,ALGM,NMS,5665861023.944855,29.5049991607666,Information Technology,Semiconductors,Strong Sell,-4,,Strong Buy,1.33333,12.0
LNT,LNT,NMS,16577070222.86499,64.51000213623047,Utilities,Electric Utilities,Neutral,-1,,Buy,2.18182,10.0
ALSN,ALSN,NYQ,7418423770.4574585,87.8550033569336,Industrials,Auto Parts,Neutral,-1,,Buy,2.44444,9.0
ALL,ALL,NYQ,53565294452.09863,203.27999877929688,Financials,Property & Casualty Insurance,Neutral,1,,Buy,1.86364,19.0
ALLY,ALLY,NYQ,12521601371.609375,40.66999816894531,Financials,Credit Services,Strong Buy,4,,Buy,2.1,17.0
ALNY,ALNY,NMS,58376689485.076904,445.3550109863281,Health Care,Biotechnology,Neutral,0,,Buy,1.8125,28.0
MO,MO,NYQ,111771490495.6211,66.53500366210938,Consumer Staples,Tobacco,Buy,2,,Hold,2.66667,12.0
DOX,DOX,NMS,9251976845.031738,84.11499786376953,Information Technology,Software - Infrastructure,Sell,-2,,Strong Buy,1.14286,6.0
AMTM,AMTM,NYQ,6022392552.0,24.75,Industrials,Diversified Support Services,Neutral,-1,,,,9.0
AEE,AEE,NYQ,26965283934.570312,99.72000122070312,Utilities,Multi-Utilities,Neutral,1,,Buy,1.92857,13.0
AAL,AAL,NMS,8871400596.076172,13.444999694824219,Industrials,Passenger Airlines,Buy,2,,Buy,2.22727,20.0
AEP,AEP,NMS,58704446232.88867,109.7699966430664,Utilities,Electric Utilities,Sell,-2,,Hold,2.57895,15.0
AFG,AFG,NYQ,11420875972.700195,136.9499969482422,Financials,Multi-line Insurance,Strong Buy,4,,Hold,2.66667,5.0
AMH,AMH,NYQ,14489906429.44336,34.720001220703125,Real Estate,REIT - Residential,Strong Sell,-4,,Buy,2.04545,20.0
AIG,AIG,NYQ,45004512678.61719,81.23500061035156,Financials,Property & Casualty Insurance,Neutral,1,,Buy,2.31579,18.0
AMT,AMT,NYQ,92658200239.67969,197.19000244140625,Real Estate,Telecom Tower REITs,Strong Sell,-4,,Buy,1.7619,19.0
AWK,AWK,NYQ,27448479911.835938,140.69000244140625,Utilities,Water Utilities,Sell,-2,,Hold,2.92308,10.0
COLD,COLD,NYQ,3981689363.418335,13.9350004196167,Real Estate,REIT - Industrial,Strong Sell,-6,,Buy,1.86667,15.0
AMP,AMP,NYQ,47603386330.45654,504.9599914550781,Financials,Asset Management & Custody Banks,Sell,-2,,,,10.0
AME,AME,NYQ,42322320500.0,183.25,Industrials,Electrical Components & Equipment,Neutral,-1,,Buy,1.70588,16.0
AMGN,AMGN,NMS,152453342686.03906,283.17999267578125,Health Care,Biotechnology,Strong Sell,-4,,Buy,2.41935,26.0
AMKR,AMKR,NMS,5859760493.413818,23.709999084472656,Information Technology,Semiconductors,Neutral,-1,,,,8.0
APH,APH,NYQ,133623596031.88477,109.44499969482422,Information Technology,Electronic Components,Neutral,0,,,,16.0
ADI,ADI,NMS,119313847489.70898,242.52999877929688,Information Technology,Semiconductors,Buy,3,,Buy,1.74286,32.0
AU,AU,NYQ,30001982666.8396,59.439998626708984,Materials,Gold,Strong Buy,6,,Buy,2.33333,6.0
NLY,NLY,NYQ,13685850964.985596,21.315000534057617,Financials,REIT - Mortgage,Strong Buy,4,,Buy,2.0,11.0
AM,AM,NYQ,8539636675.299316,17.850000381469727,Energy,Oil & Gas Midstream,Neutral,1,,Hold,3.375,7.0
AR,AR,NYQ,9884247860.22522,31.9950008392334,Energy,Oil & Gas E&P,Neutral,1,,Buy,1.90476,21.0
APA,APA,NMS,8139631136.0,22.75,Energy,Oil & Gas Exploration & Production,Strong Buy,4,,Hold,2.96552,28.0
APG,APG,NYQ,14352294181.9458,34.5099983215332,Industrials,Construction & Engineering,Sell,-2,,Strong Buy,1.4,10.0
APLS,APLS,NMS,3519702405.986786,27.8700008392334,Health Care,Biotechnology,Neutral,0,,Buy,1.95238,18.0
