date,ticker,sector,industry
2025-09-06,NVDA,information technology,Semiconductors
2025-09-06,PLTR,information technology,Internet Services & Infrastructure
2025-09-06,MSFT,information technology,Systems Software
2025-09-06,AAPL,information technology,"Technology Hardware, Storage & Peripherals"
2025-09-06,AVGO,information technology,Semiconductors
2025-09-06,AMD,information technology,Semiconductors
2025-09-06,MSTR,information technology,Application Software
2025-09-06,UNH,health care,Managed Health Care
2025-09-06,HOOD,financials,Unknown
2025-09-06,CRM,information technology,Application Software
2025-09-06,SNOW,information technology,Unknown
2025-09-06,LLY,health care,Pharmaceuticals
2025-09-06,APP,information technology,Application Software
2025-09-06,CRWV,nan,
2025-09-06,ORCL,information technology,Application Software
2025-09-06,COIN,financials,Unknown
2025-09-06,BRK-B,financials,Multi-Sector Holdings
2025-09-06,INTC,information technology,Semiconductors
2025-09-06,JPM,financials,Diversified Banks
2025-09-06,MRVL,information technology,Semiconductors
2025-09-06,MU,information technology,Semiconductors
2025-09-06,BAC,financials,Diversified Banks
2025-09-06,SOFI,financials,Unknown
2025-09-06,CRWD,information technology,Application Software
2025-09-06,V,financials,Transaction & Payment Processing Services
2025-09-06,MDB,information technology,Systems Software
2025-09-06,GEV,industrials,Industrial Machinery & Supplies & Components
2025-09-06,INTU,information technology,Application Software
2025-09-06,NOW,information technology,Systems Software
2025-09-06,UBER,industrials,Passenger Ground Transportation
2025-09-06,JNJ,health care,Pharmaceuticals
2025-09-06,BA,industrials,Aerospace & Defense
2025-09-06,MA,financials,Transaction & Payment Processing Services
2025-09-06,TXN,information technology,Semiconductors
2025-09-06,C,financials,Diversified Banks
2025-09-06,ADBE,information technology,Application Software
2025-09-06,GS,financials,Investment Banking & Brokerage
2025-09-06,AFRM,information technology,Unknown
2025-09-06,GE,industrials,Aerospace & Defense
2025-09-06,PANW,information technology,Systems Software
2025-09-06,ISRG,health care,Health Care Equipment
2025-09-06,QCOM,information technology,Semiconductors
2025-09-06,CSCO,information technology,Communications Equipment
2025-09-06,WFC,financials,Diversified Banks
2025-09-06,RKLB,industrials,Aerospace & Defense
2025-09-06,AMAT,information technology,Semiconductor Materials & Equipment
2025-09-06,UNP,industrials,Rail Transportation
2025-09-06,MRK,health care,Pharmaceuticals
2025-09-06,IBKR,financials,Investment Banking & Brokerage
2025-09-06,ANET,information technology,Communications Equipment
2025-09-06,DELL,information technology,"Technology Hardware, Storage & Peripherals"
2025-09-06,SMCI,information technology,"Technology Hardware, Storage & Peripherals"
2025-09-06,CAT,industrials,Construction Machinery & Heavy Transportation Equipment
2025-09-06,AAL,industrials,Passenger Airlines
2025-09-06,LRCX,information technology,Semiconductor Materials & Equipment
2025-09-06,CSX,industrials,Rail Transportation
2025-09-06,PFE,health care,Pharmaceuticals
2025-09-06,WDAY,information technology,Application Software
2025-09-06,ADI,information technology,Semiconductors
2025-09-06,MARA,nan,
2025-09-06,SOUN,nan,
2025-09-06,IBM,information technology,IT Consulting & Other Services
2025-09-06,IREN,nan,
2025-09-06,ABBV,health care,Pharmaceuticals
2025-09-06,ACN,information technology,IT Consulting & Other Services
2025-09-06,SCHW,financials,Investment Banking & Brokerage
2025-09-06,AXP,financials,Consumer Finance
2025-09-06,ALAB,information technology,Semiconductors
2025-09-06,APH,information technology,Electronic Components
2025-09-06,CRDO,nan,
2025-09-06,KLAC,information technology,Semiconductor Materials & Equipment
2025-09-06,VRT,industrials,Unknown
2025-09-06,NU,financials,Unknown
2025-09-06,WDC,information technology,"Technology Hardware, Storage & Peripherals"
2025-09-06,HON,industrials,Industrial Conglomerates
2025-09-06,COF,financials,Consumer Finance
2025-09-06,UPS,industrials,Air Freight & Logistics
2025-09-06,LMT,industrials,Aerospace & Defense
2025-09-06,ADSK,information technology,Application Software
2025-09-06,TEM,health care,Unknown
2025-09-06,TMO,health care,Life Sciences Tools & Services
2025-09-06,MS,financials,Investment Banking & Brokerage
2025-09-06,ETN,industrials,Electrical Components & Equipment
2025-09-06,DDOG,information technology,Application Software
2025-09-06,PYPL,financials,Transaction & Payment Processing Services
2025-09-06,BSX,health care,Health Care Equipment
2025-09-06,RGTI,nan,
2025-09-06,ELV,health care,Managed Health Care
2025-09-06,NSC,industrials,Rail Transportation
2025-09-06,ABT,health care,Health Care Equipment
2025-09-06,SNPS,information technology,Application Software
2025-09-06,HPE,information technology,"Technology Hardware, Storage & Peripherals"
2025-09-06,DE,industrials,Agricultural & Farm Machinery
2025-09-06,ZS,information technology,Application Software
2025-09-06,OKTA,information technology,Application Software
2025-09-06,PGR,financials,Property & Casualty Insurance
2025-09-06,MCHP,information technology,Semiconductors
2025-09-06,LITE,information technology,Unknown
2025-09-06,DHR,health care,Life Sciences Tools & Services
2025-09-06,REGN,health care,Biotechnology
2025-09-06,SPGI,financials,Financial Exchanges & Data
2025-09-06,VRTX,health care,Biotechnology
2025-09-06,MCK,health care,Health Care Distributors
2025-09-06,GILD,health care,Biotechnology
2025-09-06,RTX,industrials,Aerospace & Defense
2025-09-06,AMGN,health care,Biotechnology
2025-09-06,RIOT,nan,
2025-09-06,FI,financials,Transaction & Payment Processing Services
2025-09-06,CME,financials,Financial Exchanges & Data
2025-09-06,TT,industrials,Building Products
2025-09-06,FICO,information technology,Application Software
2025-09-06,URI,industrials,Trading Companies & Distributors
2025-09-06,MDT,health care,Health Care Equipment
2025-09-06,BX,financials,Asset Management & Custody Banks
2025-09-06,KEY,financials,Regional Banks
2025-09-06,VEEV,health care,Unknown
2025-09-06,RF,financials,Regional Banks
2025-09-06,FTNT,information technology,Systems Software
2025-09-06,GLW,information technology,Electronic Components
2025-09-06,BLK,financials,Asset Management & Custody Banks
2025-09-06,HBAN,financials,Regional Banks
2025-09-06,APO,financials,Asset Management & Custody Banks
2025-09-06,XYZ,financials,Transaction & Payment Processing Services
2025-09-06,JCI,industrials,Building Products
2025-09-06,FSLR,information technology,Semiconductors
2025-09-06,U,information technology,Unknown
2025-09-06,BMY,health care,Health Care Distributors
