etf,sector,chg_1d,chg_5d,chg_1m,chg_3m,rs_ratio,rs_mom,quadrant
XLE,Energy,0.84,2.51,7.16,6.48,101.7,12.13,Leading
XLV,Health Care,-0.34,-0.54,6.99,8.37,105.0,-0.11,Weakening
XLF,Financials,-0.09,0.25,4.36,7.58,105.1,0.87,Leading
XLRE,Real Estate,-0.46,1.14,3.72,2.53,101.3,3.53,Leading
XLC,Communication Services,0.69,-0.16,2.29,-6.21,97.4,3.89,Improving
XLU,Utilities,-0.14,-1.35,2.1,-1.66,99.2,2.13,Improving
XLP,Consumer Staples,-0.41,0.3,2.09,3.6,100.3,2.57,Leading
XLI,Industrials,-0.31,-0.84,-0.17,3.34,100.5,-2.4,Weakening
XLY,Consumer Discretionary,-0.33,-0.85,-0.18,-4.26,97.0,-0.7,Lagging
XLB,Materials,-0.77,-0.87,-3.25,-2.99,97.0,-1.15,Lagging
XLK,Information Technology,0.87,-2.29,-4.56,14.89,98.4,-4.69,Lagging
