date,ticker,score,bucket,themes,price,mcap_usd
2026-01-05,LSCC,93.1,70+,ia|semiconducteurs,80.59,
2026-01-05,AEIS,91.4,70+,equipement_electrique,227.51,
2026-01-05,COHU,89.5,70+,semiconducteurs,25.1,
2026-01-05,DCO,88.5,70+,defense,100.2,
2026-01-05,QTUM,87.2,70+,quantique,114.24,
2026-01-05,GOOGL,86.1,70+,ia,316.13,
2026-01-05,FIX,85.6,70+,gestion_thermique,1031.37,
2026-01-05,ROK,85.5,70+,robotique,402.09,
2026-01-05,CCJ,84.9,70+,production_energie,100.17,
2026-01-05,PDFS,84.9,70+,semiconducteurs,30.97,
2026-01-05,VECO,84.5,70+,semiconducteurs,31.07,
2026-01-05,ALNT,84.3,70+,gestion_thermique,58.26,
2026-01-05,CW,84.0,70+,defense,586.09,
2026-01-05,AYI,83.3,70+,equipement_electrique,376.18,
2026-01-05,TSM,83.2,70+,semiconducteurs,320.59,
2026-01-05,HUBB,83.1,70+,equipement_electrique,462.83,
2026-01-05,CAMT,81.9,70+,semiconducteurs,123.88,
2026-01-05,LASR,81.6,70+,laser_photonique|semiconducteurs,38.09,
2026-01-05,MKSI,81.5,70+,laser_photonique,175.89,
2026-01-05,FORM,81.2,70+,semiconducteurs,62.69,
2026-01-05,AMAT,79.9,70+,semiconducteurs,283.61,
2026-01-05,GEV,79.2,70+,equipement_electrique|production_energie,680.1,
2026-01-05,ENS,79.2,70+,equipement_electrique,154.49,
2026-01-05,ATRO,79.1,70+,defense,46.39,
2026-01-05,KLAC,79.0,70+,semiconducteurs,134.9,
2026-01-05,KRKNF,78.7,70+,defense,5.19,
2026-01-05,POWL,78.7,70+,equipement_electrique,120.36,
2026-01-05,FSLR,78.4,70+,production_energie,272.0,
2026-01-05,MYRG,78.1,70+,equipement_electrique,232.56,
2026-01-05,VIAV,78.1,70+,laser_photonique,18.11,
2026-01-05,COHR,77.4,70+,laser_photonique,186.36,
2026-01-05,RTX,77.4,70+,defense,186.86,
2026-01-05,MRCY,76.6,70+,defense|espace,81.29,
2026-01-05,GHM,76.6,70+,gestion_thermique,70.0,
2026-01-05,PLPC,76.4,70+,equipement_electrique,225.12,
2026-01-05,ADI,76.3,70+,semiconducteurs,275.67,
2026-01-05,TER,76.3,70+,robotique,219.33,
2026-01-05,NVT,75.3,70+,equipement_electrique|gestion_thermique,106.25,
2026-01-05,MCHP,74.9,70+,semiconducteurs,66.33,
2026-01-05,VSAT,74.9,70+,espace,38.5,
2026-01-05,WLDN,74.4,70+,gestion_thermique,109.74,
2026-01-05,KLIC,74.1,70+,semiconducteurs,51.08,
2026-01-05,OMCL,74.1,70+,robotique,46.93,
2026-01-05,QCOM,74.1,70+,semiconducteurs,174.54,
2026-01-05,BRKR,73.9,70+,robotique,51.13,
2026-01-05,ACLS,73.7,70+,semiconducteurs,89.04,
2026-01-05,VVX,73.4,70+,defense|laser_photonique,59.92,
2026-01-05,GD,73.3,70+,defense,350.93,
2026-01-05,INTC,72.7,70+,semiconducteurs,39.37,
2026-01-05,LHX,72.5,70+,defense,309.05,
2026-01-05,EMR,72.4,70+,equipement_electrique,141.73,
2026-01-05,ON,72.4,70+,semiconducteurs,58.69,
2026-01-05,OSIS,72.0,70+,defense,271.38,
2026-01-05,AZZ,71.1,70+,equipement_electrique,110.65,
2026-01-05,CDRE,70.9,70+,defense,41.73,
2026-01-05,HII,70.5,70+,defense,360.79,
2026-01-05,NXPI,70.5,70+,semiconducteurs,221.97,
2026-01-05,ASML,70.1,70+,semiconducteurs,1223.9,
2026-01-05,ECHO,69.9,60-70,espace,110.67,
2026-01-05,SMTC,69.9,60-70,semiconducteurs,74.34,
2026-01-05,LMT,69.5,60-70,defense,505.58,
2026-01-05,DNN,69.3,60-70,production_energie,3.22,
2026-01-05,ISRG,68.5,60-70,robotique,566.38,
2026-01-05,HEI,68.1,60-70,defense,341.5,
2026-01-05,LDOS,68.1,60-70,defense,194.32,
2026-01-05,CTS,67.9,60-70,gestion_thermique,44.44,
2026-01-05,NOC,67.9,60-70,defense,606.7,
2026-01-05,AMD,67.3,60-70,ia|semiconducteurs,221.08,
2026-01-05,NXE,67.3,60-70,production_energie,10.72,
2026-01-05,MTSI,67.1,60-70,laser_photonique|semiconducteurs,170.76,
2026-01-05,MXL,66.9,60-70,semiconducteurs,18.13,
2026-01-05,STM,66.7,60-70,semiconducteurs,27.3,
2026-01-05,LRCX,66.6,60-70,semiconducteurs,194.39,
2026-01-05,PWR,66.1,60-70,equipement_electrique,435.67,
