ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
HEI,defense,83.1,Cup & Handle probable,362.09,72.5,1.418,0.66,5.77,9.06,178238010.0,0.6,29.7,30.0,0.94,0.0,0.908,1.0,0.675,0.822,1.0,0.586,0.802,0.959,51342940685.44006,Contrat,19.0,1,3,2026-01-05,341.5,6.03,182
CGNX,robotique,78.6,Setup en formation,67.8,54.8,0.403,-4.92,1.89,2.6,161105747.0,7.0,28.3,60.0,0.19,0.0,0.911,1.0,0.245,0.506,0.879,0.833,0.952,0.768,11745052246.45314,,,0,13,2026-01-12,39.32,72.43,175
BRKR,robotique,77.7,Squeeze / VCP prêt à casser,61.64,65.9,-0.05,1.65,1.23,7.65,149044579.0,4.4,47.6,12.0,0.2,0.0,1.0,0.132,0.709,0.527,1.0,0.778,0.976,0.853,9294896810.490082,,,0,2,2026-01-05,51.13,20.56,182
GEV,equipement_electrique|production_energie,77.3,Cup & Handle probable,1113.11,57.2,14.053,-1.87,2.55,14.85,3360213263.0,5.8,27.6,98.0,0.0,0.0,0.918,1.0,0.01,0.5,1.0,0.803,0.897,0.807,308405923206.8872,,,0,43,2026-01-05,680.1,63.67,182
POWW,defense,75.9,Cup & Handle probable,2.37,65.0,0.025,2.6,7.73,15.05,2260078.0,3.7,22.4,91.0,0.0,0.0,0.956,1.0,0.052,0.5,1.0,0.516,0.976,0.878,277630762.8460355,8-K,7.0,2,0,2026-02-25,2.15,10.23,131
IRDM,espace,75.7,Cup & Handle probable,53.75,62.5,0.979,-3.54,28.47,8.71,178026661.0,5.1,36.9,86.0,0.0,0.1,0.975,0.726,0.086,0.5,1.0,0.923,0.976,0.8,5594480571.793152,Contrat,7.0,1,25,2026-01-12,19.38,177.35,175
DCO,defense,74.4,Cup & Handle probable,186.6,74.7,2.192,-1.92,9.5,24.18,50612442.0,2.3,31.1,100.0,0.0,0.01,1.0,1.0,0.0,0.5,1.0,0.459,0.992,0.83,2816775594.894989,,,0,1,2026-01-05,100.2,86.23,182
AYI,equipement_electrique,74.3,Cup & Handle probable,359.04,64.7,5.788,-2.31,-0.1,15.3,169932512.0,5.2,28.5,100.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.525,0.921,0.819,10619485474.345337,Résultats,11.0,1,8,2026-01-05,376.18,-4.56,182
SNOW,ia,74.1,Setup en formation,260.15,68.6,0.047,-0.4,14.57,-0.38,1774082971.0,8.7,53.3,36.0,0.85,0.0,1.0,0.0,0.53,0.794,0.66,0.747,0.984,0.709,91604651654.05272,Vote actionnaires,6.0,1,8,2026-06-29,251.65,3.38,7
CARR,gestion_thermique,72.7,Setup en formation,70.07,50.3,-0.263,-2.78,-7.8,5.5,423779027.0,8.7,21.6,32.0,0.57,0.0,0.905,1.0,0.587,0.783,0.661,0.5,0.841,0.581,57741948218.75668,,,0,12,2026-02-03,60.98,14.91,153
MRCY,defense|espace,71.3,Cup & Handle probable,126.21,68.4,0.527,2.57,19.55,11.82,95107976.0,1.3,42.5,30.0,0.0,0.1,0.976,0.415,0.431,0.169,1.0,0.833,1.0,0.958,7419548461.986244,,,0,1,2026-01-05,81.29,55.26,182
MASS,robotique,71.1,Setup en formation,8.69,55.3,-0.034,-2.14,-3.23,-1.81,2846605.0,6.2,30.4,25.0,0.0,0.0,0.956,1.0,0.677,0.143,0.974,0.517,0.921,0.768,327465952.09009933,Vote actionnaires,24.0,1,0,2026-02-10,6.77,28.36,146
ROK,robotique,69.7,Cup & Handle probable,471.7,53.5,0.307,-2.3,-1.6,1.79,420039783.0,5.2,20.6,48.0,0.0,0.0,0.864,1.0,0.386,0.109,1.0,0.535,0.944,0.828,53425406684.125,,,0,15,2026-01-05,402.09,17.31,182
ZBRA,robotique,69.2,Momentum en formation,267.18,64.2,3.366,-0.25,9.77,5.01,223299021.0,2.7,22.8,83.0,0.52,0.0,0.445,1.0,0.302,0.762,1.0,0.869,0.81,0.192,13040117859.089844,,,0,5,2026-05-14,258.1,3.52,53
ESE,equipement_electrique,68.9,Setup en formation,332.78,53.5,-0.064,-2.07,-6.21,14.16,107257694.0,8.1,21.9,83.0,0.25,0.0,0.945,1.0,0.105,0.583,0.739,0.5,0.794,0.73,8773982289.114624,,,0,0,2026-01-12,213.43,55.92,175
AZZ,equipement_electrique,68.6,Setup en formation,150.01,51.5,-0.539,0.07,-6.34,9.88,51060630.0,7.5,19.8,75.0,0.0,0.0,0.871,1.0,0.152,0.482,0.811,0.5,0.833,0.749,4571755899.469482,Événement,11.0,1,2,2026-01-05,110.65,35.57,182
LII,gestion_thermique,67.1,Cup & Handle probable,570.03,64.5,4.222,-0.18,0.12,10.66,223221680.0,2.9,19.3,75.0,0.54,0.0,0.887,1.0,0.293,0.493,1.0,0.525,0.794,0.452,19688256065.76172,,,0,3,2026-01-12,530.42,7.47,175
