ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol
ABT,ABT,NYQ,231150492600.75,132.80999755859375,Health Care,Health Care Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.82143,25.0,4756908.9
ABBV,ABBV,NYQ,376277280000.0,213.0,Health Care,Pharmaceuticals,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.89286,27.0,4043391.9
AYI,AYI,NYQ,10400844932.958984,339.3999938964844,Industrials,Electrical Components & Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.0,8.0,215005.9
ACM,ACM,NYQ,16680249563.354492,125.94000244140625,Industrials,Construction & Engineering,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.53846,11.0,986479.6
AMG,AMG,NYQ,6621439991.706848,233.0500030517578,Financials,Asset Management & Custody Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.42857,7.0,178911.0
AGNC,AGNC,NMS,10625645638.105774,10.199999809265137,Financials,REIT - Mortgage,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.06667,12.0,20079736.6
AL,AL,NYQ,7112724531.784058,63.63999938964844,Industrials,Rental & Leasing Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.66667,3.0,2756563.1
ALLY,ALLY,NYQ,12798696548.601562,41.56999969482422,Financials,Credit Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.1,17.0,2420593.9
GOOGL,GOOGL,NMS,2811852127205.297,232.3000030517578,Communication Services,Interactive Media & Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.53846,49.0,41611262.9
GOOG,GOOG,NMS,2810835413919.8438,232.66000366210938,Communication Services,Interactive Media & Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.5303,19.0,27605628.0
AMZN,AMZN,NMS,2513503455845.0625,235.67999267578125,Consumer Discretionary,Broadline Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.32836,61.0,32659150.6
